issue_date,Outstanding Amount (OS),Ending Net Receivable (ENR),TKB30
08-2012,36500.0,36500.0,1.0
09-2012,474625.0,474625.0,0.9668685804582565
10-2012,428950.0,428950.0,1.0
11-2012,754150.0,754150.0,0.9496121461247762
12-2012,651950.0,651950.0,0.9473886034205077
01-2013,759125.0,759125.0,0.9683846533838301
02-2013,1068150.0,1068150.0,0.9727566353040303
03-2013,1151075.0,1151075.0,1.0
04-2013,1236050.0,1236050.0,0.9708749646049917
05-2013,1864475.0,1864475.0,0.9410021587846444
06-2013,1683075.0,1683075.0,0.976946957206304
07-2013,2080500.0,2080500.0,0.9706801249699591
08-2013,2679525.0,2679525.0,1.0
09-2013,2938825.0,2938825.0,0.9566493411482481
10-2013,3006650.0,3006650.0,0.9455207623102123
11-2013,2427400.0,2427400.0,0.9830889017055285
12-2013,3091225.0,3056225.0,0.9632831644412814
01-2014,3516725.0,3516725.0,0.9486454016165609
02-2014,3850425.0,3850425.0,0.9560308277657661
03-2014,3604250.0,3604250.0,0.9794756190608309
04-2014,5860375.0,5860375.0,0.9327730733954739
05-2014,10650650.0,10650650.0,0.9770389600634704
06-2014,10627475.0,10627475.0,0.9643000806870871
07-2014,17358650.0,17358650.0,0.9625287680781628
08-2014,11861350.0,11847425.0,0.9576228675488034
09-2014,7839225.0,7839225.0,0.958184641976726
10-2014,26762850.0,26762850.0,0.972924221448762
11-2014,18540550.0,18540550.0,0.9745341966662262
12-2014,8474850.0,8474850.0,0.9658017546033263
01-2015,4852200.0,4852200.0,0.9979390791805779
02-2015,4261850.0,4261850.0,0.9747938101997958
03-2015,4439150.0,4439150.0,0.9822995393262224
04-2015,6898350.0,6898350.0,0.9807200272528938
05-2015,5859200.0,5859200.0,0.96745716138722
06-2015,5952625.0,5952625.0,0.9573885470695701
07-2015,8850575.0,8850575.0,0.9827920784807767
08-2015,8221400.0,8221400.0,0.9655989247573405
09-2015,5802375.0,5802375.0,0.9841013378142571
10-2015,10960725.0,10960725.0,0.9711697903195272
11-2015,8771200.0,8771200.0,0.9855093943816126
12-2015,9955250.0,9955250.0,0.953888651716431
01-2016,40162300.0,40127300.0,0.9656456428043214
02-2016,48446675.0,48446675.0,0.9625774111432828
03-2016,79694550.0,79617400.0,0.97011433027729
04-2016,43683050.0,43679050.0,0.9741965132929133
05-2016,35247925.0,35218725.0,0.9774809439137198
06-2016,40888750.0,40888750.0,0.9761303537036471
07-2016,42420375.0,42420375.0,0.9708159109861711
08-2016,44734450.0,44734450.0,0.976603043068597
09-2016,36119825.0,36119825.0,0.9750926257256229
10-2016,42883375.0,42883375.0,0.987576187741753
11-2016,46687250.0,46687250.0,0.98942591392725
12-2016,48245750.0,48245750.0,0.9903234999974091
01-2017,21666000.0,21666000.0,0.973967275916182
02-2017,19464350.0,19464350.0,0.9669434119300157
03-2017,27749950.0,27749950.0,0.9675035450514325
04-2017,31905250.0,31905250.0,0.9696366585436567
05-2017,40348450.0,40348450.0,0.9618485964144843
06-2017,41990800.0,41990800.0,0.9721492565038056
07-2017,43968500.0,43968500.0,0.9699324516415161
08-2017,50536775.0,50536775.0,0.9710171454351806
09-2017,50286325.0,50286325.0,0.9718795318607991
10-2017,49524325.0,49524325.0,0.9769527398909525
11-2017,56318775.0,56318775.0,0.9766006096545956
12-2017,52978500.0,52978500.0,0.9806138339137574
01-2018,55002500.0,55002500.0,0.9896550156811054
02-2018,50022925.0,50022925.0,0.9845570805785547
03-2018,59158300.0,59158300.0,0.987011966199164
04-2018,64252750.0,64252750.0,0.9892148585080016
05-2018,69891950.0,69891950.0,0.9953800115750097
06-2018,64157875.0,64157875.0,0.996976209077997
07-2018,60287025.0,60287025.0,0.9736187015365246
08-2018,64238000.0,64238000.0,0.9800756561536785
09-2018,60138800.0,60138800.0,0.9826044084684098
10-2018,67606150.0,67606150.0,0.9830925145123631
11-2018,62479150.0,62479150.0,0.9831403756293099
12-2018,60930025.0,60929025.0,0.9939352560580764
01-2019,68287050.0,68287050.0,0.9947420484557468
02-2019,62298975.0,62298975.0,0.9985136192048103
03-2019,58190350.0,58190350.0,0.9978673439840111
04-2019,62688950.0,62688950.0,0.9789966971850701
05-2019,67677500.0,67677500.0,0.9835768903993203
06-2019,58440825.0,58440825.0,0.9826995939910157
07-2019,74529300.0,74529300.0,0.9832284081562553
08-2019,71353675.0,71353675.0,0.987011530940768
09-2019,67354825.0,67354825.0,0.9840026308434474
10-2019,70114100.0,70114100.0,0.9881122342011094
11-2019,59483400.0,59483400.0,0.9898127040485245
12-2019,66437650.0,66437650.0,0.9930205237542267
